#      date    value 
 2007-01-01        0 
 2007-01-02   2.8125 
 2007-01-03   0.0625 
 2007-01-04        0 
 2007-01-05        0 
 2007-01-06        0 
 2007-01-07        0 
 2007-01-08   1.6875 
 2007-01-09   5.0625 
 2007-01-10   0.0625 
 2007-01-11        4 
 2007-01-12   5.5625 
 2007-01-13   0.4375 
 2007-01-14        0 
 2007-01-15    0.125 
 2007-01-16        0 
 2007-01-17        0 
 2007-01-18        0 
 2007-01-19        0 
 2007-01-20        0 
 2007-01-21   5.0625 
 2007-01-22   9.5625 
 2007-01-23   18.625 
 2007-01-24        0 
 2007-01-25   0.8125 
 2007-01-26   43.625 
 2007-01-27   3.9375 
 2007-01-28        0 
 2007-01-29   0.5625 
 2007-01-30        0 
 2007-01-31   1.0625 
 2007-02-01  24.6875 
 2007-02-02    13.75 
 2007-02-03   0.6875 
 2007-02-04    0.125 
 2007-02-05        0 
 2007-02-06   0.0625 
 2007-02-07     1.25 
 2007-02-08     2.25 
 2007-02-09   0.0625 
 2007-02-10   0.9375 
 2007-02-11        0 
 2007-02-12    0.125 
 2007-02-13   8.4375 
 2007-02-14  37.4375 
 2007-02-15  23.8125 
 2007-02-16    0.375 
 2007-02-17   0.1875 
 2007-02-18        0 
 2007-02-19        0 
 2007-02-20        0 
 2007-02-21        0 
 2007-02-22        0 
 2007-02-23        0 
 2007-02-24        0 
 2007-02-25        0 
 2007-02-26        0 
 2007-02-27        0 
 2007-02-28        0 
 2007-03-01        0 
 2007-03-02   0.6875 
 2007-03-03        0 
 2007-03-04        0 
 2007-03-05        0 
 2007-03-06        0 
 2007-03-07        0 
 2007-03-08   0.0625 
 2007-03-09        0 
 2007-03-10        0 
 2007-03-11        0 
 2007-03-12    1.125 
 2007-03-13  11.0625 
 2007-03-14        0 
 2007-03-15        0 
 2007-03-16        0 
 2007-03-17        0 
 2007-03-18        0 
 2007-03-19        0 
 2007-03-20        0 
 2007-03-21        0 
 2007-03-22        0 
 2007-03-23        0 
 2007-03-24      0.5 
 2007-03-25    9.875 
 2007-03-26    0.375 
 2007-03-27        0 
 2007-03-28        0 
 2007-03-29        0 
 2007-03-30        0 
 2007-03-31        0 
 2007-04-01        0 
 2007-04-02        0 
 2007-04-03        0 
 2007-04-04        0 
 2007-04-05        0 
 2007-04-06        0 
 2007-04-07        0 
 2007-04-08        0 
 2007-04-09        0 
 2007-04-10        0 
 2007-04-11        0 
 2007-04-12        0 
 2007-04-13        0 
 2007-04-14        0 
 2007-04-15        0 
 2007-04-16        0 
 2007-04-17        0 
 2007-04-18        0 
 2007-04-19        0 
 2007-04-20        0 
 2007-04-21        0 
 2007-04-22        0 
 2007-04-23        0 
 2007-04-24        0 
 2007-04-25        0 
 2007-04-26        0 
 2007-04-27        0 
 2007-04-28   7.3125 
 2007-04-29   1.4375 
 2007-04-30        0 
 2007-05-01        0 
 2007-05-02        0 
 2007-05-03        0 
 2007-05-04        0 
 2007-05-05        0 
 2007-05-06        0 
 2007-05-07        0 
 2007-05-08        0 
 2007-05-09        0 
 2007-05-10        0 
 2007-05-11        0 
 2007-05-12    1.125 
 2007-05-13        0 
